gig_id,seller,seller_level,score,score_num,title,currency,price_start,keyword,results_count,url,img,last_modified_date
21953432,fiverrgig,Level 2 Seller,4.9,210,I will be your creative press release writer,€,13.97,Press release Writing,2094,https://www.fiverr.com//fiverrgig/write-a-killer-press-release-new-release-web-marketing?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=11&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/21953432/original/aa449fa58dd1c8c7f48c2a638c13455d792fc5ba/write-a-killer-press-release-new-release-web-marketing.jpg",2019-04-03T07:34:14Z
123146369,margretscott400,NA,4.8,7,I will write a compelling press release,€,4.66,Press release Writing,2094,https://www.fiverr.com//margretscott400/write-a-compelling-press-release?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=12&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/123146369/original/211f1a249ff5603659b709e408ed64623939fe29/write-a-compelling-press-release.jpg",2019-04-03T07:34:14Z
122566956,lucyconaty,NA,5,1,I will professional and engaging press release writing,€,4.66,Press release Writing,2094,https://www.fiverr.com//lucyconaty/professional-and-engaging-press-release-writing?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=13&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/122566956/original/a28abe9a5e0c4518bbe6eb2451d809e9f80f0dd7/professional-and-engaging-press-release-writing.jpg",2019-04-03T07:34:14Z
109538765,emmaki,NA,5,16,I will write a press release that engages and converts,€,116,Press release Writing,2094,https://www.fiverr.com//emmaki/write-a-press-release-that-engages-and-converts?context_referrer=search_gigs&context_type=auto&is_pro=true&pckg_id=1&pos=14&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/109538765/original/9685160e2720f4b34aefb1781600c3b291a11359/write-a-press-release-that-engages-and-converts.png",2019-04-03T07:34:14Z
118632307,geniuswriter199,NA,5,24,I will write press release with press release distribution,€,9.32,Press release Writing,2094,https://www.fiverr.com//geniuswriter199/write-press-release-with-press-release-distribution?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=15&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/118632307/original/4d58aae48c82fa9b97af46ed4865534fa3e953d0/write-press-release-with-press-release-distribution.jpeg",2019-04-03T07:34:14Z
122652825,aliyahlina,NA,NA,NA,I will provide a professional press release writing service,€,23.29,Press release Writing,2094,https://www.fiverr.com//aliyahlina/provide-a-professional-press-release-writing-service?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=16&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/122652825/original/2cd05cf75452db5517955cb265736653bcbb4716/provide-a-professional-press-release-writing-service.jpg",2019-04-03T07:34:14Z
101524375,many_solutions,Level 2 Seller,5,56,I will do outstanding press release writing with SEO keywords,€,9.32,Press release Writing,2094,https://www.fiverr.com//many_solutions/write-outstanding-and-professional-about-us-page-in-24-hours?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=17&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/101524375/original/1d99b59c2ba1e76702407b6d75a86af2db89ee34/write-outstanding-and-professional-about-us-page-in-24-hours.png",2019-04-03T07:34:14Z
100778619,mdiroc,NA,5,2,I will write the best press release on fiverr,€,93.16,Press release Writing,2094,https://www.fiverr.com//mdiroc/write-the-best-news-release-on-fiverr?context_referrer=search_gigs&context_type=auto&is_pro=true&pckg_id=1&pos=18&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/100778619/original/29e60a5feb454858e197e59041bafd24e0e6ef8c/write-the-best-news-release-on-fiverr.png",2019-04-03T07:34:14Z
77013556,patyperez,Level 2 Seller,4.9,36,I will write press release and do press release distribution,€,18.63,Press release Writing,2094,https://www.fiverr.com//patyperez/write-a-professional-press-release-and-distribute-it?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=19&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/77013556/original/732189ecc882fac976ac7340dcc5c01f54bfd800/write-a-professional-press-release-and-distribute-it.png",2019-04-03T07:34:14Z
90448321,carlenedesk,NA,5,3,I will write press release with press release distribution,€,4.66,Press release Writing,2094,https://www.fiverr.com//carlenedesk/write-press-release-with-press-release-distribution?context_referrer=search_gigs&context_type=auto&pckg_id=1&pos=20&ref_ctx_id=62a8796b-0230-42d7-a08f-ec0fb1086775&funnel=3226e956-b90b-4b4f-896e-217281f6ffb6,"https://fiverr-res.cloudinary.com/images/t_medium7,q_auto,f_auto/gigs/90448321/original/80bcf446d771b87c6b7a290e9c8425e866985f0e/write-press-release-with-press-release-distribution.jpg",2019-04-03T07:34:14Z
